sample,canopyHeight_cm
T1Q1,36.58
T1Q2,37.62
T1Q3,32.39
T1Q4,24.58
T1Q5,36.73
T1Q6,32.28
T1Q7,34.21
T1Q8,51.94
T1Q9,20.49
T1Q10,16.43
T1Q11,37.97
T1Q12,60.51
T1Q13,30.13
T1Q14,28.76
T1Q15,23.61
T2Q1,54.34
T2Q2,27.87
T2Q3,31.25
T2Q4,28.46
T2Q5,24.68
T2Q6,46.52
T2Q7,11.85
T2Q8,29.82
T2Q9,39.10
T2Q10,58.84
T2Q11,33.63
T2Q12,33.14
T2Q13,27.54
T2Q14,41.34
T2Q15,38.23
T3Q1,29.64
T3Q2,25.81
T3Q3,34.47
T3Q4,34.47
T3Q5,34.52
T3Q6,28.93
T3Q7,38.81
T3Q8,38.59
T3Q9,37.77
T3Q10,22.75
T3Q11,73.98
T3Q12,40.63
T3Q13,59.02
T3Q14,29.16
T3Q15,32.30
T4Q1,37.53
T4Q2,36.02
T4Q3,36.13
T4Q4,25.57
T4Q5,62.71
T4Q6,48.37
T4Q7,37.62
T4Q8,54.54
T4Q9,32.93
T4Q10,23.74
T4Q11,39.59
T4Q12,12.03
T4Q13,18.89
T4Q14,40.06
T4Q15,33.88
T5Q1,15.19
T5Q2,35.17
T5Q3,20.07
T5Q4,31.97
T5Q5,6.88
T5Q6,31.88
T5Q7,64.54
T5Q8,27.89
T5Q9,42.78
T5Q10,38.96
T5Q11,28.74
T5Q12,32.06
T5Q13,49.99
T5Q14,22.02
T5Q15,37.25
